current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
6184,468,1,5716
6184,464,1,5720
6184,460,1,5724
6184,456,1,5728
6184,452,1,5732
6184,448,1,5736
6184,444,1,5740
6184,440,1,5744
6184,436,1,5748
6184,432,1,5752
6184,428,1,5756
6184,424,1,5760
6184,420,1,5764
6184,416,1,5768
6184,412,1,5772
6184,408,1,5776
6184,404,1,5780
6184,400,1,5784
6184,396,1,5788
6184,392,1,5792
6184,388,1,5796
6184,384,1,5800
6184,380,1,5804
6184,376,1,5808
6184,368,1,5816
6184,364,1,5820
6184,360,1,5824
6184,356,1,5828
6184,352,1,5832
6184,348,1,5836
6184,344,1,5840
6184,340,1,5844
6184,336,1,5848
6184,332,1,5852
6184,328,1,5856
6184,324,1,5860
6184,320,1,5864
6184,316,1,5868
6184,312,1,5872
6184,308,1,5876
6184,304,1,5880
6184,300,1,5884
6184,296,1,5888
6184,292,1,5892
6184,288,1,5896
6184,284,1,5900
6184,280,1,5904
6184,272,1,5912
6184,268,1,5916
6184,264,1,5920
6184,260,1,5924
6184,256,1,5928
6184,252,1,5932
6184,248,1,5936
6184,244,1,5940
6184,240,1,5944
6184,236,1,5948
6184,232,1,5952
6184,228,1,5956
6184,220,1,5964
6184,216,1,5968
6184,212,1,5972
6184,208,1,5976
6184,204,1,5980
6184,200,1,5984
6184,196,1,5988
6184,192,1,5992
6184,188,1,5996
6184,184,1,6000
6184,180,1,6004
6184,172,1,6012
6184,168,1,6016
6184,164,1,6020
6184,160,1,6024
6184,156,1,6028
6184,152,1,6032
6184,148,1,6036
6184,144,1,6040
6184,140,1,6044
6184,136,1,6048
6184,132,1,6052
6184,128,1,6056
6184,124,1,6060
6184,116,1,6068
6184,112,1,6072
6184,108,1,6076
6184,104,1,6080
6184,100,1,6084
6184,96,1,6088
6184,92,1,6092
6184,88,1,6096
6184,84,1,6100
6184,80,1,6104
6184,76,1,6108
6184,72,1,6112
6184,64,1,6120
6184,60,1,6124
6184,56,1,6128
6184,52,1,6132
6184,48,1,6136
6184,44,1,6140
6184,40,1,6144
6184,36,1,6148
6184,32,1,6152
6184,28,1,6156
6184,24,1,6160
6184,20,1,6164
6184,16,1,6168
6184,12,1,6172
6184,8,1,6176
6184,4,1,6180
11184,4,2,6188
11184,4992,2,6192
11184,4988,2,6196
11184,4984,2,6200
11184,4984,2,6200
11184,4980,2,6204
11184,4972,2,6212
11184,4972,2,6212
11184,4968,2,6216
11184,4964,2,6220
11184,4960,2,6224
11184,4956,2,6228
11184,4952,2,6232
11184,4948,2,6236
11184,4944,2,6240
11184,4940,2,6244
11184,4936,2,6248
11184,4932,2,6252
11184,4928,2,6256
11184,4924,2,6260
11184,4920,2,6264
