Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629683076,6.48843E+11,470704128,244924,,6324
1629683078,6.48884E+11,470577152,244928,,6326
1629683079,6.48938E+11,470732800,244936,,6327
1629683080,6.48979E+11,470683648,244940,,6328
1629683081,6.49016E+11,470749184,244944,,6329
1629683083,6.49055E+11,470736896,244948,,6331
1629683084,6.4911E+11,470544384,244952,,6332
1629683085,6.4915E+11,470626304,244956,,6333
1629683086,6.49192E+11,470749184,244960,,6334
1629683087,6.49232E+11,470675456,244968,,6335
1629683089,6.49283E+11,470806528,244972,,6337
1629683090,6.49323E+11,470818816,244976,,6338
1629683091,6.49367E+11,470913024,244980,,6339
1629683092,6.49404E+11,470896640,244984,,6340
1629683093,6.49459E+11,470970368,244988,,6341
1629683095,6.495E+11,470839296,244992,,6343
1629683096,6.49541E+11,470908928,244996,,6344
1629683097,6.49583E+11,470855680,245000,,6345
1629683098,6.49641E+11,470642688,245008,,6346
1629683099,6.49683E+11,470732800,245012,,6347
1629683101,6.49729E+11,470929408,245016,,6349
1629683102,6.49769E+11,470896640,245020,,6350
1629683103,6.49827E+11,470908928,245024,,6351
1629683104,6.49865E+11,470806528,245032,,6352
1629683106,6.49902E+11,470794240,245036,,6354
1629683107,6.49943E+11,470843392,245040,,6355
1629683108,6.49996E+11,470937600,245044,,6356
1629683109,6.50039E+11,470937600,245048,,6357
1629683110,6.50079E+11,470872064,245052,,6358
1629683112,6.50117E+11,470929408,245056,,6360
1629683113,6.50169E+11,470872064,245060,,6361
1629683114,6.50206E+11,470585344,245064,,6362
1629683115,6.50245E+11,470798336,245068,,6363
1629683116,6.50283E+11,470908928,245076,,6364
1629683118,6.50327E+11,470994944,245080,,6366
1629683119,6.50383E+11,470806528,245084,,6367
1629683120,6.50419E+11,470921216,245088,,6368
1629683121,6.50458E+11,470929408,245092,,6369
1629683122,6.50496E+11,470724608,245096,,6370
1629683124,6.50545E+11,470896640,245100,,6372
1629683125,6.50585E+11,470728704,245108,,6373
1629683126,6.50626E+11,471031808,245112,,6374
1629683127,6.50658E+11,470945792,245112,,6375
1629683129,6.507E+11,471257088,245116,,6377
1629683132,6.50732E+11,471085056,245116,,6380
1629683133,6.50769E+11,471076864,245116,,6381
1629683135,6.50793E+11,470994944,245116,,6383
1629683137,6.50822E+11,470777856,245120,,6385
1629683138,6.50866E+11,471011328,245120,,6386
1629683140,6.5089E+11,470982656,245124,,6388
1629683141,6.50918E+11,471015424,245124,,6389
1629683143,6.50963E+11,471113728,245128,,6391
1629683144,6.50985E+11,471040000,245128,,6392
1629683146,6.51013E+11,470880256,245132,,6394
1629683147,6.51045E+11,470982656,245132,,6395
1629683149,6.51082E+11,470691840,245136,,6397
1629683150,6.51109E+11,470720512,245136,,6398
1629683151,6.51137E+11,470618112,245136,,6399
1629683153,6.51181E+11,470732800,245140,,6401
1629683154,6.51203E+11,470831104,245140,,6402
1629683156,6.51236E+11,470732800,245144,,6404
1629683157,6.51268E+11,470773760,245148,,6405
1629683158,6.51312E+11,470638592,245148,,6406
1629683160,6.51343E+11,470822912,245152,,6408
1629683161,6.5138E+11,470831104,245156,,6409
1629683162,6.51424E+11,470986752,245156,,6410
1629683164,6.51447E+11,470831104,245160,,6412
1629683165,6.51475E+11,470642688,245160,,6413
1629683167,6.5151E+11,470745088,245164,,6415
1629683168,6.51555E+11,470802432,245164,,6416
1629683170,6.51582E+11,470593536,245168,,6418
1629683171,6.51614E+11,470786048,245172,,6419
1629683172,6.51647E+11,470925312,245172,,6420
1629683174,6.51687E+11,470708224,245176,,6422
1629683175,6.51723E+11,470548480,245180,,6423
1629683176,6.51752E+11,470859776,245180,,6424
1629683177,6.51788E+11,470933504,245184,,6425
1629683179,6.51829E+11,470929408,245184,,6427
1629683180,6.51868E+11,470937600,245188,,6428
1629683181,6.51902E+11,470933504,245192,,6429
1629683183,6.5195E+11,471019520,245196,,6431
1629683184,6.51985E+11,470974464,245200,,6432
1629683185,6.52025E+11,470806528,245204,,6433
1629683186,6.52062E+11,470917120,245208,,6434
1629683188,6.52097E+11,470835200,245212,,6436
1629683189,6.52146E+11,470814720,245216,,6437
1629683190,6.5218E+11,470790144,245216,,6438
1629683191,6.52211E+11,470822912,245220,,6439
1629683193,6.52262E+11,470945792,245224,,6441
1629683194,6.52293E+11,470822912,245224,,6442
1629683195,6.52327E+11,470888448,245228,,6443
1629683196,6.5236E+11,470872064,245232,,6444
1629683198,6.52396E+11,470761472,245236,,6446
1629683199,6.52438E+11,471007232,245236,,6447
1629683200,6.52472E+11,470851584,245240,,6448
1629683201,6.52509E+11,471097344,245244,,6449
1629683203,6.52562E+11,471212032,245248,,6451
1629683204,6.52595E+11,471060480,245252,,6452
1629683205,6.52632E+11,471101440,245256,,6453
1629683207,6.52668E+11,470925312,245260,,6455
1629683208,6.52717E+11,471191552,245264,,6456
1629683209,6.52751E+11,470884352,245264,,6457
1629683210,6.5279E+11,471011328,245268,,6458
1629683212,6.52829E+11,471044096,245272,,6460
1629683213,6.52879E+11,470925312,245276,,6461
1629683214,6.52914E+11,470982656,245280,,6462
1629683215,6.52947E+11,471003136,245284,,6463
1629683217,6.52982E+11,471113728,245284,,6465
1629683218,6.53033E+11,471048192,245288,,6466
1629683219,6.53066E+11,470810624,245292,,6467
1629683220,6.53104E+11,471044096,245296,,6468
1629683222,6.53145E+11,470913024,245300,,6470
1629683223,6.53194E+11,471191552,245304,,6471
1629683224,6.53229E+11,470966272,245308,,6472
1629683225,6.53268E+11,471068672,245312,,6473
1629683227,6.53302E+11,471154688,245312,,6475
1629683228,6.53352E+11,470962176,245316,,6476
1629683229,6.5339E+11,471171072,245320,,6477
1629683230,6.53429E+11,471113728,245324,,6478
1629683232,6.53472E+11,471199744,245328,,6480
1629683233,6.53526E+11,471031808,245332,,6481
1629683234,6.53562E+11,470896640,245336,,6482
1629683235,6.53605E+11,471228416,245340,,6483
1629683237,6.53641E+11,471109632,245344,,6485
1629683238,6.53689E+11,470978560,245348,,6486
1629683239,6.53718E+11,471076864,245348,,6487
1629683241,6.53752E+11,471285760,245352,,6489
1629683242,6.53786E+11,471306240,245356,,6490
1629683243,6.53838E+11,471166976,245360,,6491
1629683244,6.53871E+11,471154688,245364,,6492
1629683246,6.53913E+11,471101440,245368,,6494
1629683247,6.53952E+11,471146496,245372,,6495
1629683248,6.54005E+11,471441408,245372,,6496
1629683250,6.5405E+11,471232512,245380,,6498
1629683251,6.54097E+11,471232512,245384,,6499
1629683252,6.54136E+11,471306240,245388,,6500
1629683253,6.54191E+11,471281664,245392,,6501
1629683254,6.54234E+11,471183360,245396,,6502
1629683256,6.54281E+11,471326720,245404,,6504
1629683257,6.54324E+11,471334912,245408,,6505
1629683258,6.54377E+11,471269376,245412,,6506
1629683259,6.54419E+11,471310336,245416,,6507
1629683260,6.54465E+11,471150592,245420,,6508
1629683262,6.54504E+11,471306240,245424,,6510
1629683263,6.5456E+11,471490560,245432,,6511
1629683264,6.54601E+11,471216128,245436,,6512
1629683265,6.54641E+11,471273472,245440,,6513
1629683266,6.54683E+11,471175168,245444,,6514
1629683268,6.54724E+11,471285760,245448,,6516
1629683269,6.5478E+11,471244800,245456,,6517
1629683270,6.54822E+11,471470080,245460,,6518
1629683271,6.54866E+11,471293952,245464,,6519
1629683272,6.54912E+11,471367680,245472,,6520
1629683274,6.5497E+11,471404544,245476,,6522
1629683275,6.55014E+11,471318528,245480,,6523
1629683276,6.55056E+11,471351296,245488,,6524
1629683277,6.55099E+11,471306240,245492,,6525
1629683278,6.55158E+11,471244800,245496,,6526
1629683279,6.55202E+11,471425024,245504,,6527
1629683281,6.5525E+11,471539712,245508,,6529
1629683282,6.55298E+11,471445504,245516,,6530
1629683283,6.55361E+11,471339008,245520,,6531
1629683284,6.55404E+11,471547904,245524,,6532
1629683285,6.55448E+11,471625728,245532,,6533
1629683287,6.55493E+11,471330816,245536,,6535
1629683288,6.55551E+11,471371776,245540,,6536
1629683289,6.55594E+11,471265280,245548,,6537
1629683290,6.55638E+11,471457792,245552,,6538
1629683291,6.55681E+11,471179264,245556,,6539
1629683293,6.55744E+11,471375872,245564,,6541
1629683294,6.55792E+11,471293952,245568,,6542
1629683295,6.55835E+11,471281664,245576,,6543
1629683296,6.55878E+11,471302144,245580,,6544
1629683298,6.55922E+11,471408640,245584,,6546
1629683299,6.55985E+11,471461888,245592,,6547
1629683300,6.5603E+11,471433216,245596,,6548
1629683301,6.56071E+11,471465984,245600,,6549
