Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_Date_time
1629286420,1.97E+13,2491600896,69148,,6850
1629286422,1.97E+13,2491912192,69152,,6852
1629286423,1.97E+13,2491793408,69160,,6853
1629286424,1.97E+13,2491625472,69164,,6854
1629286425,1.97E+13,2491756544,69168,,6855
1629286426,1.97E+13,2491789312,69172,,6856
1629286427,1.97E+13,2491834368,69176,,6857
1629286429,1.97E+13,2491584512,69180,,6859
1629286430,1.98E+13,2560851968,69184,,6860
1629286431,1.98E+13,2492006400,69192,,6861
1629286432,1.98E+13,2491904000,69196,,6862
1629286433,1.98E+13,2491871232,69200,,6863
1629286434,1.98E+13,2491928576,69204,,6864
1629286436,1.98E+13,2491940864,69208,,6866
1629286437,1.98E+13,2491854848,69216,,6867
1629286438,1.98E+13,2491895808,69220,,6868
1629286439,1.98E+13,2492063744,69224,,6869
1629286440,1.98E+13,2580086784,69228,,6870
1629286441,1.98E+13,2513928192,69232,,6871
1629286443,1.98E+13,2491830272,69236,,6873
1629286444,1.98E+13,2491928576,69244,,6874
1629286445,1.98E+13,2491768832,69248,,6875
1629286446,1.98E+13,2491936768,69252,,6876
1629286447,1.98E+13,2491699200,69256,,6877
1629286448,1.98E+13,2491805696,69260,,6878
1629286450,1.98E+13,2550882304,69264,,6880
1629286451,1.98E+13,2491834368,69268,,6881
1629286452,1.98E+13,2491949056,69272,,6882
1629286453,1.98E+13,2492137472,69276,,6883
1629286454,1.98E+13,2492145664,69280,,6884
1629286455,1.98E+13,2491920384,69288,,6885
1629286457,1.98E+13,2491899904,69292,,6887
1629286458,1.98E+13,2491977728,69296,,6888
1629286459,1.98E+13,2491838464,69300,,6889
1629286460,1.98E+13,2579046400,69304,,6890
1629286461,1.98E+13,2492035072,69308,,6891
1629286463,1.98E+13,2491863040,69312,,6893
1629286464,1.98E+13,2491969536,69320,,6894
1629286465,1.98E+13,2491899904,69324,,6895
1629286466,1.98E+13,2491936768,69328,,6896
1629286467,1.98E+13,2491957248,69332,,6897
1629286468,1.98E+13,2491850752,69336,,6898
1629286469,1.98E+13,2522050560,69340,,6899
1629286471,1.98E+13,2491858944,69344,,6901
1629286472,1.98E+13,2560835584,69352,,6902
1629286473,1.98E+13,2492030976,69356,,6903
1629286474,1.98E+13,2492010496,69360,,6904
1629286475,1.98E+13,2491998208,69364,,6905
1629286476,1.98E+13,2492014592,69368,,6906
1629286478,1.98E+13,2491994112,69372,,6908
1629286479,1.98E+13,2491961344,69376,,6909
1629286480,1.98E+13,2565869568,69380,,6910
1629286481,1.98E+13,2492063744,69388,,6911
1629286482,1.98E+13,2492067840,69392,,6912
1629286484,1.98E+13,2492076032,69396,,6914
1629286485,1.98E+13,2492108800,69400,,6915
1629286486,1.98E+13,2492186624,69404,,6916
1629286487,1.98E+13,2491973632,69408,,6917
1629286488,1.98E+13,2492252160,69412,,6918
1629286489,1.98E+13,2503675904,69416,,6919
1629286490,1.98E+13,2492092416,69424,,6920
1629286492,1.98E+13,2492203008,69428,,6922
1629286493,1.98E+13,2492219392,69432,,6923
1629286494,1.98E+13,2492067840,69436,,6924
1629286495,1.98E+13,2492026880,69440,,6925
1629286496,1.98E+13,2492108800,69444,,6926
1629286497,1.98E+13,2492100608,69448,,6927
1629286499,1.98E+13,2492141568,69456,,6929
1629286500,1.98E+13,2564481024,69460,,6930
1629286501,1.98E+13,2492289024,69464,,6931
1629286502,1.98E+13,2576949248,69468,,6932
1629286503,1.98E+13,2492141568,69472,,6933
1629286505,1.98E+13,2492121088,69476,,6935
1629286506,1.98E+13,2492096512,69480,,6936
1629286507,1.98E+13,2492059648,69484,,6937
1629286508,1.98E+13,2492100608,69492,,6938
1629286509,1.98E+13,2499084288,69496,,6939
1629286510,1.98E+13,2492096512,69500,,6940
1629286512,1.98E+13,2492399616,69504,,6942
1629286513,1.98E+13,2492129280,69508,,6943
1629286514,1.98E+13,2492293120,69516,,6944
1629286515,1.98E+13,2493161472,70224,,6945
1629286516,1.98E+13,2493210624,70228,,6946
1629286517,1.98E+13,2493186048,70236,,6947
1629286519,1.98E+13,2493153280,70240,,6949
1629286520,1.98E+13,2563436544,70244,,6950
1629286521,1.98E+13,2492817408,70248,,6951
1629286522,1.98E+13,2492932096,70252,,6952
1629286523,1.98E+13,2493083648,70256,,6953
1629286525,1.98E+13,2492866560,70260,,6955
1629286526,1.98E+13,2492948480,70264,,6956
1629286527,1.98E+13,2492760064,70272,,6957
1629286528,1.98E+13,2492981248,70276,,6958
1629286529,1.98E+13,2517311488,70280,,6959
1629286531,1.98E+13,2492907520,70284,,6961
1629286532,1.98E+13,2551988224,70288,,6962
1629286533,1.98E+13,2492993536,70292,,6963
1629286534,1.98E+13,2492907520,70296,,6964
1629286535,1.98E+13,2492805120,70300,,6965
1629286536,1.98E+13,2493038592,70308,,6966
1629286538,1.98E+13,2492989440,70312,,6968
1629286539,1.98E+13,2492747776,70316,,6969
1629286540,1.98E+13,2569777152,70320,,6970
1629286541,1.98E+13,2493149184,70324,,6971
1629286542,1.98E+13,2492985344,70328,,6972
1629286544,1.98E+13,2493116416,70332,,6974
1629286545,1.98E+13,2493071360,70336,,6975
1629286546,1.98E+13,2493210624,70340,,6976
1629286547,1.98E+13,2493087744,70348,,6977
1629286548,1.98E+13,2493132800,70352,,6978
1629286549,1.98E+13,2529087488,70356,,6979
1629286551,1.98E+13,2492895232,70360,,6981
1629286552,1.98E+13,2493034496,70364,,6982
1629286553,1.98E+13,2493120512,70368,,6983
1629286554,1.98E+13,2492973056,70372,,6984
1629286555,1.98E+13,2493239296,70376,,6985
1629286557,1.98E+13,2493173760,70384,,6987
1629286558,1.98E+13,2493341696,70388,,6988
1629286559,1.98E+13,2492985344,70392,,6989
1629286560,1.98E+13,2574290944,70396,,6990
1629286561,1.98E+13,2501873664,70400,,6991
1629286562,1.98E+13,2493186048,70404,,6992
1629286564,1.98E+13,2493067264,70408,,6994
1629286565,1.98E+13,2493243392,70412,,6995
1629286566,1.98E+13,2493206528,70416,,6996
1629286567,1.98E+13,2493100032,70424,,6997
